rank_2024,rank_2023,empresa,sede,razao_social,ranking_source,source_url,source_json,retrieved_at
34,38,Kovr,SP,Kovr Seguradora S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
35,35,Fator Seguradora,SP,Fator Seguradora S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
36,34,Mitsui Sumitomo,SP,Mitsui Sumitomo Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
37,36,Junto,PR,Junto Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
38,37,Alfa Seguradora,SP,Alfa Seguradora S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
39,41,Sancor,PR,Sancor Seguros do Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
40,40,Berkley International Brasil,SP,Berkley International do Brasil Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
41,42,Excelsior,PE,Companhia Excelsior de Seguros,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
42,-,Sombrero,SP,Sombrero Seguros S.A,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
43,43,Banestes Seguros,ES,Banestes Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
44,47,Santander Auto,SP,Santander Auto S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
45,19,HDI Seguros do Brasil,SP,HDI Seguros do Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
46,45,Gente Seguradora,RS,Gente Seguradora S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
47,48,BMG Seguros,SP,BMG Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
48,46,Euler Hermes,SP,Euler Hermes Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
49,50,Gazin,PR,Gazin Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
50,49,Coface Brasil,SP,Coface do Brasil Seguros de Crédito S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
