rank_2024,rank_2023,empresa,sede,setor,receita_liquida_rs_mi,var_receita_pct,lucro_liquido_rs_mi,var_lucro_pct,margem_liquida_pct,rentab_pl_medio_pct,lucro_ativ_rs_mi,lucro_financ_rs_mi,ebitda_rs_mi,var_ebitda_pct,ativo_total_rs_mi,patrim_liquido_rs_mi,endiv_oneroso_rs_mi,nivel_endiv_geral_pct,nivel_endiv_oneroso_pct,liquidez_corrente,capital_origem,razao_social,ranking_source,source_url,source_json,retrieved_at
23,14,Cofco International,SP,Agronegócio,"53.327,2","-26,1","-40,6","-110,3","-0,1",ND,"1.970,5","-1.808,8","4.751,2","36,7","41.827,9","816,7","11.388,3","5.021,4","1.394,4","1,19",HK,Cofco International Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
24,23,Rede D'Or,SP,Serviços Médicos,"50.571,3","8,7","3.934,1","86,1","7,8","15,6","7.033,5","-2.542,4","9.074,0","28,4","102.597,9","26.701,9","41.077,4","284,2","153,8","2,88",BR,Rede D' Or São Luiz S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
25,27,Neoenergia,RJ,Energia Elétrica,"48.993,0","10,5","3.682,0","-18,7","7,5","11,7","9.686,0","-4.992,0","12.573,0","1,3","109.541,0","32.747,0","53.293,0","234,5","162,7","1,22",EP/BR,Neoenergia S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
26,24,Claro Participações,SP,TI & Telecom,"48.914,9","6,9","-1.306,6","-143,9","-2,7","-6,7","7.092,8","-11.553,5","21.761,6","10,5","103.478,6","20.107,8","10.424,7","414,6","51,8","0,63",MX,Claro Telecom Participações S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
27,32,Suzano,BA,Papel e Celulose,"47.403,3","19,2","-7.044,7","-149,9","-14,9","-18,2","14.294,4","-28.802,1","24.915,1","27,5","165.936,1","32.415,6","111.890,4","411,9","345,2","1,72",BR,Suzano S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
28,28,Acelen,BA,Petróleo e Gás,"45.590,0","4,1","-1.899,0","-132,7","-4,2",ND,"13,0","-5.722,0","2.775,0","1.280,6","20.843,0","-1.274,0","10.841,0",ND,ND,"0,71",EA,Refinaria de Mataripe S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
29,31,Equatorial,MA,Energia Elétrica,"45.366,7","10,7","3.767,8","31,0","8,3","13,7","8.277,2","-4.740,8","11.393,7","12,9","116.412,1","29.887,6","55.983,8","289,5","187,3","1,46",BR,Equatorial S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
30,30,Grupo Enel,RJ,Energia Elétrica,"44.095,3","6,6","3.060,0","16,4","6,9","5,4","6.870,9","-3.196,3","10.737,7","-0,1","109.834,0","62.250,6","15.671,3","76,4","25,2","0,91",IT,Enel Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
31,25,CSN,SP,Metalurgia e Siderurgia,"43.687,5","-3,9","-1.538,1","-482,0","-3,5","-8,8","3.421,2","-5.813,4","8.061,4","-5,9","103.906,7","15.459,1","57.072,5","572,1","369,2","1,58",BR,Companhia Siderúrgica Nacional,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
32,38,Volkswagen,SP,Veículos e Peças,"43.200,0","24,1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,AL,Volkswagen do Brasil Indústria de Veículos Automotores Ltda.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
33,33,CPFL Energia,SP,Energia Elétrica,"42.628,2","7,3","5.761,6","4,1","13,5","27,6","10.666,6","-2.741,3","13.133,4","2,4","77.129,2","21.795,0","29.068,9","253,9","133,4","0,95",CH,CPFL Energia S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
34,41,Grupo Simpar,SP,Transportes e Logística,"41.062,9","29,0","93,8","114,4","0,2","1,5","6.656,2","-6.293,5","10.715,4","28,4","84.025,8","5.725,0","60.993,4","1.367,7","1.065,4","1,29",BR,Simpar S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
35,26,Amaggi,MT,Agronegócio,"40.605,4","-9,5","804,8","-52,6","2,0","5,5","361,2","-459,7","1.633,4","-45,1","46.772,9","16.591,4","22.445,8","181,9","135,3","1,86",BR,André Maggi Participações S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
36,35,Eletrobras,RJ,Energia Elétrica,"40.181,6","8,1","10.380,8","136,2","25,8","8,9","13.479,4","-11.628,1","26.236,7","54,2","289.871,3","121.999,8","76.981,1","137,6","63,1","2,04",BR,Centrais Elétricas Brasileiras S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
37,36,Cemig,MG,Energia Elétrica,"39.819,6","8,1","7.119,3","23,5","17,9","27,4","6.459,6","-520,8","11.254,0","32,3","59.726,8","27.383,1","12.279,3","118,1","44,8","0,86",BR,Companhia Energética de Minas Gerais,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
38,39,RD Saúde,SP,Comércio Varejista,"38.871,5","14,4","1.211,4","11,4","3,1","19,4","2.230,8","-933,1","4.204,0","11,0","22.163,8","6.446,9","3.293,9","243,8","51,1","1,38",BR,Raia Drogasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
39,29,Louis Dreyfus Company,SP,Agronegócio,"38.748,1","-9,6","-162,7","-123,7","-0,4","-4,2","32,5","-156,8","338,1","-64,1","27.151,8","4.345,7","4.963,9","524,8","114,2","1,06",FR,Louis Dreyfus Company Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
40,37,Magazine Luiza,SP,Comércio Varejista,"38.038,1","3,5","448,7","145,8","1,2","4,3","1.607,4","-1.475,0","2.895,7","232,6","37.311,9","11.319,3","4.582,2","229,6","40,5","1,17",BR,Magazine Luiza S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
41,40,WEG,SC,Mecânica,"37.986,9","16,9","6.318,8","7,7","16,6","30,8","7.536,6","218,0","8.503,0","19,9","41.489,7","23.125,2","3.621,5","79,4","15,7","1,76",BR,WEG S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
42,43,Localiza&Co,MG,Transportes e Logística,"37.271,6","29,0","1.813,3","0,6","4,9","7,0","5.805,2","-3.938,6","11.914,7","13,2","87.243,6","26.342,7","44.870,8","231,2","170,3","1,17",BR,Localiza Rent a Car S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
43,56,Sabesp,SP,"Água, Saneamento e Serviços Ambientais","36.145,5","41,3","9.579,6","171,9","26,5","28,7","15.416,1","-1.867,7","18.187,1","99,1","80.965,4","36.928,1","25.258,3","119,3","68,4","0,89",BR,Cia. de Saneamento Básico do Estado de São Paulo,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
44,75,Comexport,SP,Comércio Atacadista e Exterior,"35.727,9","101,8","742,7","18,8","2,1","37,4","892,8","-148,9","919,5","30,0","12.362,9","2.211,3","1.225,9","459,1","55,4","1,23",BR,Comexport Cia. de Comércio Exterior,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
45,55,Embraer,SP,Veículos e Peças,"35.424,2","35,7","1.923,8","145,3","5,4","10,9","2.390,3","-663,2","5.103,9","87,3","73.219,7","20.710,9","16.068,2","253,5","77,6","1,47",BR,Embraer S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
46,48,Honda,SP,Veículos e Peças,"35.295,2","27,5",-,-,-,-,-,-,-,-,-,-,-,-,-,-,JP,Honda South America Ltda.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
47,42,Latam,SP,Transportes e Logística,"35.041,2","18,9","3.530,0","0,8","10,1","70,8","2.845,7","889,2","3.121,9","-9,4","29.970,5","6.730,5","331,5","345,3","4,9","1,20",BR/CL,TAM S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
48,51,Minerva Foods,SP,Alimentos e Bebidas,"34.068,9","26,7","-1.563,8","-495,4","-4,6","-418,8","2.332,5","-3.932,8","3.096,6","20,8","42.141,9","87,2","30.082,1","48.218,4","34.491,1","1,48",BR,Minerva S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
49,45,Energisa,MG,Energia Elétrica,"33.715,5","18,2","4.636,3","79,5","13,8","24,5","5.940,0","-1.735,8","7.969,0","4,5","77.181,7","22.143,2","36.410,3","248,6","164,4","1,23",BR,Energisa S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
50,52,Grupo Mateus,MA,Comércio Varejista,"32.085,4","19,8","1.334,9","8,1","4,2","14,2","2.090,8","-571,9","2.467,6","21,2","18.959,3","9.963,4","2.273,9","90,3","22,8","2,56",BR,Grupo Mateus S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
